condition,drugName,Total_Reviews,Avg_Rating,Median_Rating,Positive_Reviews,Neutral_Reviews,Negative_Reviews,Total_Useful_Votes,Avg_Useful_Votes,Avg_Review_Word_Count,Satisfaction_Rate_Pct
Pain,Methadose,8,9.62,10.0,8,0,0,321,40.1,65.1,100.0
Menstrual Disorders,Loryna,8,3.88,1.0,3,0,5,23,2.9,122.8,37.5
Psoriasis,Halobetasol,8,8.12,8.5,6,2,0,52,6.5,52.8,75.0
Psoriasis,Elocon,8,9.88,10.0,8,0,0,252,31.5,64.6,100.0
Psoriasis,Desoximetasone,8,8.38,10.0,7,0,1,93,11.6,47.2,87.5
High Blood Pressure,Azilsartan Medoxomil / Chlorthalidone,8,6.75,7.0,5,2,1,140,17.5,65.4,62.5
Allergic Rhinitis,Astelin,8,10.0,10.0,8,0,0,245,30.6,73.1,100.0
Headache,Fiorinal With Codeine,8,9.25,9.5,8,0,0,193,24.1,53.6,100.0
Nausea/Vomiting,Ativan,8,7.0,9.5,5,1,2,357,44.6,64.6,62.5
Menorrhagia,Dienogest / Estradiol,8,7.62,9.5,5,2,1,38,4.8,118.6,62.5
Mania,Lithium,8,7.12,7.5,6,1,1,284,35.5,52.2,75.0
"Conjunctivitis, Bacterial",Vigamox,8,6.38,7.5,5,0,3,48,6.0,27.4,62.5
"Conjunctivitis, Bacterial",Moxifloxacin,8,6.75,8.5,5,1,2,73,9.1,31.6,62.5
Atopic Dermatitis,Triamcinolone,8,9.25,10.0,8,0,0,152,19.0,75.9,100.0
Insomnia,Dalmane,8,8.38,9.5,7,0,1,339,42.4,92.8,87.5
Influenza Prophylaxis,Flumist,8,3.62,2.0,2,1,5,40,5.0,62.6,25.0
Pain,Sprix,8,8.62,9.5,7,1,0,105,13.1,74.4,87.5
Diabetic Kidney Disease,Lisinopril,8,6.25,6.5,4,2,2,142,17.8,67.1,50.0
Sinusitis,Prednisone,8,6.88,9.0,5,1,2,340,42.5,76.4,62.5
Sinusitis,Ceftin,8,8.5,10.0,7,0,1,578,72.2,78.1,87.5
Allergic Rhinitis,Patanase,8,7.5,9.5,6,0,2,116,14.5,74.0,75.0
Allergic Rhinitis,Loratadine / Pseudoephedrine,8,4.12,2.0,3,0,5,81,10.1,64.0,37.5
Sinusitis,Amoxicillin,8,6.88,8.5,5,1,2,117,14.6,33.4,62.5
Chronic Myelogenous Leukemia,Sprycel,8,8.75,8.5,8,0,0,84,10.5,76.0,100.0
Chronic Lymphocytic Leukemia,Ibrutinib,8,5.38,5.5,4,1,3,111,13.9,45.0,50.0
"Diabetes, Type 2",Glyxambi,8,6.38,7.5,5,1,2,99,12.4,41.0,62.5
Computed Tomography,Barium Sulfate,8,4.62,4.0,2,3,3,81,10.1,86.5,25.0
Malaria Prevention,Mefloquine,8,4.88,3.5,3,1,4,68,8.5,69.9,37.5
Major Depressive Disorde,Zyprexa,8,6.25,7.5,4,1,3,156,19.5,72.4,50.0
Pseudobulbar Affect,Nuedexta,8,9.12,9.5,7,1,0,341,42.6,68.8,87.5
"Crohn's Disease, Maintenance",Azathioprine,8,7.62,7.5,7,0,1,177,22.1,64.5,87.5
Pain,Zorvolex,8,7.62,9.5,6,0,2,172,21.5,73.0,75.0
Pain,Ultram Er,8,7.88,8.5,7,0,1,396,49.5,100.4,87.5
Constipation,Milk Of Magnesia,8,8.75,9.5,7,1,0,138,17.2,99.2,87.5
Pain,Talwin Nx,8,6.62,8.0,6,0,2,303,37.9,67.5,75.0
Premenstrual Syndrome,Ethinyl Estradiol / Levonorgestrel,8,3.5,2.0,2,0,6,8,1.0,106.0,25.0
Premenstrual Dysphoric Disorde,Drospirenone / Ethinyl Estradiol / Levomefolate Calcium,8,8.5,9.5,7,0,1,163,20.4,88.6,87.5
Premenstrual Dysphoric Disorde,Beyaz,8,8.62,9.5,7,1,0,157,19.6,104.4,87.5
Urinary Incontinence,Tolterodine,8,7.12,9.0,5,1,2,163,20.4,28.8,62.5
Urinary Incontinence,Oxytrol,8,8.75,9.0,8,0,0,402,50.2,97.2,100.0
Upper Respiratory Tract Infection,Sulfamethoxazole / Trimethoprim,8,4.88,4.5,4,0,4,65,8.1,65.9,50.0
Upper Respiratory Tract Infection,Cephalexin,8,6.88,8.5,6,0,2,309,38.6,54.5,75.0
Not Listed / Othe,Tramadol,8,8.25,8.5,7,1,0,50,6.2,42.1,87.5
Bronchitis,Ciprofloxacin,8,5.5,5.5,2,5,1,189,23.6,33.2,25.0
Nausea/Vomiting,Transderm-Scop,8,4.0,3.5,1,3,4,47,5.9,118.1,12.5
"COPD, Acute",Albuterol,8,6.25,7.5,5,1,2,108,13.5,39.1,62.5
Crohn's Disease,Remicade,8,5.75,5.5,3,3,2,79,9.9,70.5,37.5
Crohn's Disease,Entyvio,8,3.25,2.5,1,2,5,83,10.4,50.5,12.5
Panic Disorde,Clomipramine,8,9.12,10.0,7,1,0,417,52.1,73.8,87.5
Panic Disorde,Celexa,8,8.0,8.5,7,1,0,401,50.1,71.0,87.5
Bacterial Infection,Keflex,8,7.75,9.5,6,1,1,362,45.2,64.5,75.0
Insomnia,Unisom Sleepgels,8,5.12,4.5,4,0,4,108,13.5,47.6,50.0
Postpartum Depression,Effexor Xr,8,7.88,8.5,6,2,0,93,11.6,98.5,75.0
Postmenopausal Symptoms,Prempro,8,7.0,8.0,6,0,2,221,27.6,82.1,75.0
Cough,Tessalon,8,7.25,9.0,6,0,2,175,21.9,28.4,75.0
Irritable Bowel Syndrome,Enteragam,8,6.25,9.0,5,0,3,86,10.8,97.0,62.5
Iron Deficiency Anemia,Ferrous Sulfate,8,6.12,5.5,3,4,1,406,50.8,82.0,37.5
"Crohn's Disease, Acute",Remicade,8,7.62,9.0,6,1,1,67,8.4,65.5,75.0
Postmenopausal Symptoms,Combipatch,8,7.12,8.0,5,2,1,98,12.2,48.9,62.5
Post Traumatic Stress Disorde,Saphris,8,8.75,9.0,7,1,0,262,32.8,102.8,87.5
Post Traumatic Stress Disorde,Pristiq,8,9.0,9.5,7,1,0,191,23.9,90.8,87.5
Hepatitis C,Pegasys,8,6.62,8.0,5,1,2,107,13.4,61.9,62.5
"COPD, Maintenance",Combivent Respimat,8,4.25,3.5,2,2,4,174,21.8,71.4,25.0
Myelodysplastic Syndrome,Vidaza,8,7.12,9.5,5,1,2,353,44.1,84.0,62.5
Streptococcal Infection,Levofloxacin,8,7.25,9.0,6,0,2,200,25.0,95.4,75.0
Soft Tissue Sarcoma,Votrient,8,8.75,10.0,7,0,1,348,43.5,73.1,87.5
Soft Tissue Sarcoma,Pazopanib,8,7.75,9.0,5,2,1,251,31.4,92.0,62.5
Allergic Rhinitis,Desloratadine,8,5.88,7.0,4,2,2,51,6.4,48.9,50.0
Hepatitis C,Viekira Pak,8,6.5,9.5,5,0,3,139,17.4,73.4,62.5
Hepatitis C,Telaprevir,8,8.25,9.5,7,0,1,101,12.6,87.8,87.5
Muscle Pain,Methyl Salicylate,8,6.0,7.5,5,0,3,49,6.1,69.5,62.5
Birth Control,Tri-Linyah,8,4.62,4.0,3,1,4,27,3.4,94.0,37.5
Allergic Reactions,Benadryl,8,8.25,8.5,6,2,0,101,12.6,53.9,75.0
Trigeminal Neuralgia,Topiramate,8,7.5,8.5,6,1,1,155,19.4,83.6,75.0
Trichomoniasis,Flagyl,8,7.5,8.0,6,1,1,234,29.2,89.6,75.0
Oophorectomy,Conjugated Estrogens,8,8.38,9.5,7,0,1,397,49.6,68.9,87.5
Bone infection,Clindamycin,8,8.75,9.0,7,1,0,180,22.5,85.1,87.5
Systemic Lupus Erythematosus,Azathioprine,8,4.5,5.0,2,3,3,146,18.2,62.9,25.0
GERD,Carafate,8,6.5,8.0,5,0,3,462,57.8,98.9,62.5
Eye Redness/Itching,Visine Totality Multi-Symptom Relief,8,3.75,2.5,2,0,6,27,3.4,49.8,25.0
Eye Redness/Itching,Tetrahydrozoline / Zinc Sulfate,8,3.88,2.5,2,0,6,28,3.5,47.6,25.0
Not Listed / Othe,Gabapentin,8,8.38,8.5,7,1,0,28,3.5,83.9,87.5
Not Listed / Othe,Buprenorphine / Naloxone,8,9.88,10.0,8,0,0,3,0.4,106.2,100.0
Urticaria,Doxepin,8,8.62,9.0,7,1,0,261,32.6,72.4,87.5
"Constipation, Chronic",Tegaserod,8,9.88,10.0,8,0,0,104,13.0,54.9,100.0
"Constipation, Chronic",Polyethylene Glycol 3350 With Electrolytes,8,9.38,10.0,8,0,0,95,11.9,56.4,100.0
ADHD,Armodafinil,8,7.38,8.5,6,0,2,232,29.0,78.8,75.0
ADHD,Methylin,8,8.5,8.5,7,1,0,185,23.1,47.0,87.5
Endometriosis,Sprintec,7,6.43,8.0,5,0,2,46,6.6,78.9,71.4
Epilepsy,Carbatrol,7,8.14,9.0,6,0,1,80,11.4,46.0,85.7
Abnormal Uterine Bleeding,Junel Fe 1 / 20,7,5.43,6.0,3,3,1,78,11.1,117.7,42.9
Weight Loss,Ionamin,7,7.29,9.0,5,0,2,211,30.1,101.6,71.4
Nocturnal Leg Cramps,Quinine,7,8.0,9.0,6,0,1,109,15.6,66.7,85.7
ADHD,Ritalin La,7,9.0,9.0,7,0,0,116,16.6,73.7,100.0
Alzheimer's Disease,Namenda,7,5.0,5.0,2,3,2,388,55.4,56.7,28.6
"Diabetes, Type 2",Glucotrol,7,7.43,10.0,5,0,2,654,93.4,25.4,71.4
"Diabetes, Type 2",Empagliflozin / Linagliptin,7,6.0,7.0,4,1,2,95,13.6,52.0,57.1
"Sexual Dysfunction, SSRI Induced",Viagra,7,8.71,9.0,6,1,0,429,61.3,22.0,85.7
Allergic Rhinitis,Olopatadine,7,8.57,10.0,6,0,1,123,17.6,67.6,85.7
Sinus Symptoms,Drixoral Cold And Allergy,7,10.0,10.0,7,0,0,37,5.3,40.0,100.0
Birth Control,Tri-Estarylla,7,5.14,4.0,3,1,3,10,1.4,106.1,42.9
Abnormal Uterine Bleeding,Tri-Lo-Sprintec,7,1.14,1.0,0,0,7,20,2.9,98.9,0.0
Abnormal Uterine Bleeding,Quasense,7,3.0,3.0,0,3,4,37,5.3,98.6,0.0
Vaginal Yeast Infection,Lactobacillus Acidophilus,7,8.29,10.0,6,0,1,283,40.4,63.0,85.7
Polycystic Ovary Syndrome,Microgestin Fe 1 / 20,7,4.14,3.0,1,2,4,68,9.7,106.7,14.3
Cough and Nasal Congestion,Mucinex D Maximum Strength,7,5.43,3.0,3,0,4,6,0.9,69.9,42.9
Back Pain,Ibuprofen,7,7.29,8.0,6,0,1,106,15.1,21.4,85.7
Vulvodynia,Amitriptyline,7,7.29,8.0,6,0,1,145,20.7,55.1,85.7
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Prenatal Plus,7,6.86,6.0,3,4,0,57,8.1,28.7,42.9
Endometriosis,Etonogestrel,7,4.0,3.0,1,2,4,2,0.3,116.9,14.3
Eye Redness/Itching,Opcon-A,7,5.86,8.0,4,1,2,53,7.6,46.9,57.1
Parkinson's Disease,Amantadine,7,7.14,8.0,4,2,1,126,18.0,38.7,57.1
"Constipation, Chronic",Zelnorm,7,9.86,10.0,7,0,0,96,13.7,47.4,100.0
Kidney Infections,Bactrim,7,5.57,5.0,3,2,2,94,13.4,92.1,42.9
Periodic Limb Movement Disorde,Requip,7,4.71,1.0,3,0,4,153,21.9,46.9,42.9
Period Pain,Ponstel,7,7.14,10.0,5,0,2,99,14.1,87.9,71.4
Performance Anxiety,Inderal,7,8.29,10.0,6,0,1,415,59.3,57.6,85.7
Vertig,Antivert,7,5.57,8.0,4,0,3,355,50.7,48.1,57.1
Ventricular Tachycardia,Amiodarone,7,7.29,9.0,5,0,2,264,37.7,65.3,71.4
Vaginal Yeast Infection,Vagistat-1,7,6.57,8.0,5,0,2,116,16.6,55.1,71.4
Motion Sickness,Promethazine,7,7.29,9.0,5,0,2,85,12.1,72.3,71.4
Chronic Lymphocytic Leukemia,Imbruvica,7,4.86,3.0,3,0,4,93,13.3,68.0,42.9
Herpes Zoste,Valacyclovir,7,8.14,10.0,5,1,1,91,13.0,83.9,71.4
Sjogren's Syndrome,Evoxac,7,6.86,8.0,5,0,2,149,21.3,91.4,71.4
Sinusitis,Cefprozil,7,3.57,1.0,2,0,5,74,10.6,39.1,28.6
High Blood Pressure,Furosemide,7,6.29,5.0,3,2,2,161,23.0,55.0,42.9
Chronic Pain,Methadone Diskets,7,9.71,10.0,7,0,0,401,57.3,66.9,100.0
Bacterial Infection,Cipro,7,5.57,5.0,3,1,3,172,24.6,54.3,42.9
Eczema,Prednisone,7,7.29,10.0,5,0,2,236,33.7,66.7,71.4
Pelvic Inflammatory Disease,Metronidazole,7,4.71,4.0,3,1,3,28,4.0,102.4,42.9
Parkinson's Disease,Rasagiline,7,6.14,6.0,3,2,2,253,36.1,40.7,42.9
Juvenile Rheumatoid Arthritis,Etanercept,7,8.0,9.0,6,0,1,48,6.9,84.9,85.7
Osteoarthritis,Triamcinolone,7,5.71,6.0,3,1,3,22,3.1,62.6,42.9
High Blood Pressure,Valturna,7,6.43,6.0,3,2,2,23,3.3,39.7,42.9
Seizures,Ethosuximide,7,9.14,10.0,7,0,0,35,5.0,43.1,100.0
Seizures,Aptiom,7,7.29,9.0,5,1,1,79,11.3,84.1,71.4
Seizure Prevention,Klonopin,7,8.29,10.0,6,0,1,210,30.0,81.9,85.7
Anesthesia,Ketamine,7,3.86,2.0,2,0,5,93,13.3,44.4,28.6
Sedation,Desyrel,7,8.86,9.0,7,0,0,687,98.1,96.4,100.0
Secondary Hyperparathyroidism,Cinacalcet,7,6.71,8.0,4,2,1,87,12.4,56.1,57.1
"Diabetes, Type 2",Insulin Lispro,7,6.57,6.0,3,3,1,53,7.6,41.0,42.9
Osteoarthritis,Famotidine / Ibuprofen,7,6.0,6.0,2,4,1,76,10.9,66.9,28.6
Osteoarthritis,Duexis,7,6.86,6.0,3,3,1,75,10.7,72.4,42.9
Birth Control,Trivora,7,7.14,9.0,4,2,1,40,5.7,48.6,57.1
Birth Control,Trinessa Lo,7,4.57,5.0,2,2,3,12,1.7,72.7,28.6
Sciatica,Diclofenac / Misoprostol,7,9.0,9.0,7,0,0,353,50.4,93.0,100.0
High Blood Pressure,Zestril,7,6.0,7.0,4,1,2,481,68.7,42.1,57.1
"Organ Transplant, Rejection Prophylaxis",Cellcept,7,8.14,8.0,5,2,0,82,11.7,41.3,71.4
Strep Throat,Biaxin,7,6.14,6.0,3,2,2,120,17.1,90.0,42.9
Stomach Ulce,Carafate,7,6.71,8.0,4,2,1,315,45.0,72.6,57.1
Glaucoma,Brimonidine / Timolol,7,6.0,7.0,4,1,2,127,18.1,43.3,57.1
Eczema,Desoximetasone,7,8.0,10.0,5,1,1,150,21.4,62.7,71.4
Dyspareunia,Ospemifene,7,7.57,8.0,6,0,1,170,24.3,98.7,85.7
Urinary Tract Infection,Smz-Tmp Ds,7,2.14,1.0,0,2,5,119,17.0,66.3,0.0
Urinary Tract Infection,Macrodantin,7,7.43,8.0,5,1,1,163,23.3,81.0,71.4
Gas,Gas-X,7,7.71,10.0,5,0,2,388,55.4,42.9,71.4
Parkinson's Disease,Neupro,7,5.86,7.0,4,1,2,167,23.9,72.3,57.1
Interstitial Cystitis,Elavil,7,8.0,9.0,6,0,1,308,44.0,59.7,85.7
Spondylolisthesis,Gabapentin,7,6.0,5.0,3,2,2,64,9.1,111.3,42.9
Skin or Soft Tissue Infection,Levofloxacin,7,2.57,1.0,1,1,5,43,6.1,80.7,14.3
High Blood Pressure,Prinivil,7,6.14,8.0,4,1,2,466,66.6,21.4,57.1
Schizophrenia,Fanapt,7,8.0,9.0,6,0,1,130,18.6,33.0,85.7
Hepatitis C,Dasabuvir / Ombitasvir / Paritaprevir / Ritonavir,7,7.29,10.0,5,0,2,130,18.6,79.7,71.4
Opioid Overdose,Naloxone,7,9.43,10.0,7,0,0,74,10.6,80.3,100.0
Muscle Spasm,Aspirin / Carisoprodol,7,9.29,9.0,7,0,0,67,9.6,41.7,100.0
Obesity,Chorionic Gonadotropin (Hcg),7,7.29,9.0,4,3,0,252,36.0,70.9,57.1
Bronchitis,Cipro,7,5.29,5.0,1,5,1,168,24.0,34.6,14.3
Nausea/Vomiting,Meclizine,7,9.0,10.0,6,1,0,182,26.0,58.6,85.7
Nausea/Vomiting,Haloperidol,7,3.71,2.0,2,0,5,87,12.4,78.1,28.6
Glaucoma,Diamox,7,5.86,7.0,4,0,3,119,17.0,67.3,57.1
Panic Disorde,Bupropion,7,6.86,8.0,5,1,1,460,65.7,82.7,71.4
Narcolepsy,Dexedrine,7,8.43,8.0,6,1,0,312,44.6,109.7,85.7
Schizophrenia,Chlorpromazine,7,9.14,9.0,7,0,0,88,12.6,64.6,100.0
Ankylosing Spondylitis,Remicade,7,7.0,8.0,5,1,1,160,22.9,67.0,71.4
Schizoaffective Disorde,Invega Sustenna,7,6.57,8.0,5,0,2,106,15.1,72.1,71.4
Dermatitis,Fluocinonide,7,9.86,10.0,7,0,0,172,24.6,81.3,100.0
Tendonitis,Mobic,7,9.43,10.0,7,0,0,664,94.9,49.3,100.0
Temporomandibular Joint Disorde,Valium,7,9.43,10.0,7,0,0,193,27.6,76.1,100.0
Unknown,Yasmin,7,4.86,5.0,3,1,3,36,5.1,66.7,42.9
Unknown,Varenicline,7,7.86,9.0,6,0,1,50,7.1,108.0,85.7
Unknown,Suboxone,7,9.57,10.0,7,0,0,16,2.3,86.3,100.0
Acne,Tazorac,7,7.29,9.0,5,0,2,34,4.9,89.3,71.4
Unknown,Sertraline,7,8.57,9.0,6,1,0,100,14.3,75.1,85.7
Primary Immunodeficiency Syndrome,Hizentra,7,6.29,8.0,5,0,2,99,14.1,68.3,71.4
Prevention of Hypokalemia,Potassium Chloride,7,6.57,7.0,4,2,1,94,13.4,21.6,57.1
Prevention of Dental Caries,Fluoride,7,7.14,9.0,5,0,2,36,5.1,60.7,71.4
Borderline Personality Disorde,Lurasidone,7,8.14,8.0,7,0,0,166,23.7,120.6,100.0
Borderline Personality Disorde,Aripiprazole,7,6.86,7.0,4,2,1,96,13.7,90.7,57.1
Bladder Infection,Hiprex,7,7.86,8.0,6,0,1,389,55.6,107.6,85.7
Anorexia,Dronabinol,7,8.43,10.0,6,0,1,205,29.3,58.6,85.7
Hyperhidrosis,Xerac Ac,7,9.0,10.0,6,0,1,51,7.3,85.3,85.7
High Cholesterol,Welchol,7,7.57,9.0,5,1,1,315,45.0,85.0,71.4
High Cholesterol,Pravachol,7,6.14,7.0,4,1,2,902,128.9,22.1,57.1
Birth Control,Altavera,7,6.43,7.0,5,1,1,26,3.7,101.4,71.4
Cold Symptoms,Tussionex Pennkinetic,7,7.0,6.0,3,4,0,44,6.3,83.3,42.9
Supraventricular Tachycardia,Diltiazem,7,7.86,9.0,4,3,0,229,32.7,90.6,57.1
"Tuberculosis, Latent",Isoniazid,7,5.71,5.0,3,3,1,89,12.7,102.7,42.9
Trigeminal Neuralgia,Trileptal,7,8.86,10.0,6,1,0,424,60.6,71.7,85.7
"Crohn's Disease, Maintenance",Imuran,7,6.86,7.0,6,0,1,135,19.3,66.4,85.7
Insomnia,Edluar,7,8.71,9.0,7,0,0,71,10.1,79.1,100.0
Pain/Feve,Acetaminophen / Aspirin / Caffeine,7,8.57,10.0,6,0,1,24,3.4,59.4,85.7
Pain,Vicodin Hp,7,8.29,10.0,6,0,1,88,12.6,62.9,85.7
Constipation,Magnesium Oxide,7,9.43,10.0,7,0,0,452,64.6,70.1,100.0
Pain,Tylox,7,9.0,9.0,7,0,0,56,8.0,43.6,100.0
Pain,Toradol Iv / Im,7,7.57,10.0,5,0,2,38,5.4,79.4,71.4
Eczema,Hydrocortisone,7,8.86,9.0,7,0,0,75,10.7,33.6,100.0
Trigeminal Neuralgia,Tegretol Xr,7,8.86,9.0,7,0,0,146,20.9,44.0,100.0
Tourette's Syndrome,Aripiprazole,7,6.86,8.0,5,0,2,83,11.9,75.6,71.4
Tinea Pedis,Terbinafine,7,6.57,9.0,4,1,2,75,10.7,47.9,57.1
Heart Attack,Metoprolol,7,6.29,6.0,3,3,1,273,39.0,87.3,42.9
Anxiety,Serax,7,8.29,9.0,6,1,0,466,66.6,41.9,85.7
Hypersomnia,Modafinil,7,5.57,6.0,3,2,2,35,5.0,109.7,42.9
Hyperphosphatemia of Renal Failure,Sevelamer,7,5.0,4.0,3,1,3,57,8.1,41.7,42.9
Insomnia,Desyrel,7,6.29,6.0,3,3,1,206,29.4,24.3,42.9
Unknown,Nexplanon,7,3.57,1.0,2,0,5,35,5.0,72.4,28.6
Unknown,Lyrica,7,5.14,5.0,2,3,2,88,12.6,56.6,28.6
Unknown,Junel Fe 1 / 20,7,5.14,4.0,3,1,3,79,11.3,94.1,42.9
Duodenal Ulce,Sucralfate,7,9.43,10.0,7,0,0,366,52.3,74.0,100.0
"Asthma, acute",Ventolin,7,7.14,9.0,4,2,1,75,10.7,37.0,57.1
Prostate Cance,Zytiga,7,9.71,10.0,7,0,0,313,44.7,30.0,100.0
Bipolar Disorde,Citalopram,7,7.86,9.0,5,2,0,119,17.0,72.7,71.4
Pain,Aspirin / Butalbital / Caffeine,7,9.71,10.0,7,0,0,140,20.0,49.7,100.0
Pain,Acetaminophen / Phenyltoloxamine,7,9.0,9.0,7,0,0,75,10.7,26.4,100.0
"Diarrhea, Chronic",Loperamide,7,9.86,10.0,7,0,0,177,25.3,51.9,100.0
Headache,Dolgic Plus,7,8.43,9.0,5,2,0,34,4.9,60.1,71.4
Bowel Preparation,Sodium Biphosphate / Sodium Phosphate,7,5.86,9.0,4,0,3,133,19.0,63.4,57.1
Bowel Preparation,Gavilyte-G,7,9.0,9.0,7,0,0,59,8.4,79.0,100.0
Dry Skin,Biafine,7,9.86,10.0,7,0,0,66,9.4,62.6,100.0
Diverticulitis,Cipro,7,7.43,8.0,6,0,1,380,54.3,52.0,85.7
Bronchitis,Azithromycin Dose Pack,7,6.71,8.0,4,1,2,233,33.3,67.4,57.1
Bronchiectasis,Albuterol,7,3.71,1.0,2,1,4,30,4.3,42.6,28.6
Nausea/Vomiting,Dimenhydrinate,7,9.57,10.0,7,0,0,228,32.6,54.3,100.0
"Conjunctivitis, Allergic",Ketotifen,7,9.57,10.0,7,0,0,112,16.0,63.7,100.0
Nasal Congestion,Nostrilla,7,7.57,10.0,5,0,2,45,6.4,58.6,71.4
"Asthma, Maintenance",Asmanex Twisthaler,7,7.29,10.0,5,0,2,170,24.3,58.3,71.4
"Asthma, Maintenance",Dulera,7,4.29,2.0,2,1,4,216,30.9,90.1,28.6
Depression,Desipramine,7,9.86,10.0,7,0,0,286,40.9,87.0,100.0
Inflammatory Conditions,Decadron,7,3.0,1.0,2,0,5,107,15.3,77.7,28.6
Indigestion,Omeprazole,7,8.57,10.0,6,0,1,165,23.6,52.3,85.7
Ulcerative Colitis,Imuran,7,7.43,9.0,5,1,1,305,43.6,50.6,71.4
Alcohol Withdrawal,Diazepam,7,8.86,9.0,6,1,0,322,46.0,43.3,85.7
Unknown,Clonazepam,7,9.0,10.0,6,1,0,43,6.1,68.3,85.7
Atopic Dermatitis,Elidel,7,8.14,9.0,6,0,1,68,9.7,76.9,85.7
Psoriatic Arthritis,Infliximab,7,8.57,9.0,6,0,1,138,19.7,66.6,85.7
Pain,Morphine / Naltrexone,7,7.86,9.0,6,0,1,296,42.3,76.4,85.7
Migraine,Botox,7,6.0,7.0,4,0,3,39,5.6,89.3,57.1
Psoriasis,Soriatane,7,7.57,8.0,5,1,1,278,39.7,67.3,71.4
"Asthma, acute",Methylprednisolone,7,8.43,10.0,6,0,1,151,21.6,80.6,85.7
Breast Cance,Afinitor,7,4.86,2.0,3,0,4,127,18.1,76.4,42.9
Breakthrough Pain,Actiq,7,8.71,9.0,6,1,0,271,38.7,92.6,85.7
Bipolar Disorde,Desvenlafaxine,7,7.71,9.0,5,1,1,89,12.7,95.3,71.4
Cold Symptoms,Drixoral Cold And Allergy,7,10.0,10.0,7,0,0,58,8.3,48.9,100.0
Diagnosis and Investigation,Lexiscan,7,5.43,8.0,4,0,3,178,25.4,64.0,57.1
Headache,Acetaminophen / Caffeine / Isometheptene Mucate,7,8.86,9.0,7,0,0,38,5.4,72.3,100.0
HIV Infection,Truvada,7,8.86,10.0,6,0,1,81,11.6,48.3,85.7
"Asthma, Maintenance",Fluticasone / Vilanterol,7,6.43,8.0,4,1,2,44,6.3,69.9,57.1
"Asthma, Maintenance",Alvesco,7,8.0,9.0,6,0,1,83,11.9,48.9,85.7
Reflex Sympathetic Dystrophy Syndrome,Lyrica,7,6.14,8.0,5,0,2,90,12.9,54.6,71.4
Pulmonary Hypertension,Revatio,7,5.86,9.0,4,0,3,140,20.0,44.9,57.1
Psychosis,Haldol,7,8.57,10.0,6,0,1,347,49.6,86.1,85.7
Dietary Supplementation,Ubiquinone,7,8.57,10.0,6,0,1,216,30.9,39.1,85.7
Unknown,Implanon,7,6.86,9.0,4,2,1,4,0.6,109.9,57.1
"Nausea/Vomiting, Chemotherapy Induced",Zofran,7,7.29,8.0,5,1,1,130,18.6,73.9,71.4
"Nausea/Vomiting, Chemotherapy Induced",Ondansetron,7,8.0,9.0,6,0,1,129,18.4,62.6,85.7
"Nausea/Vomiting, Chemotherapy Induced",Granisetron,7,9.14,10.0,7,0,0,25,3.6,58.3,100.0
Abnormal Uterine Bleeding,Alesse,7,4.14,4.0,2,2,3,22,3.1,96.3,28.6
ADHD,Methylin Er,7,8.43,9.0,6,1,0,141,20.1,64.0,85.7
Seizures,Phenobarbital,7,8.71,10.0,6,0,1,108,15.4,33.6,85.7
Eye Redness,Freshkote,7,9.57,10.0,7,0,0,169,24.1,49.9,100.0
Expectoration,Acetylcysteine,7,9.71,10.0,7,0,0,219,31.3,67.0,100.0
Erosive Esophagitis,Pantoprazole,7,7.14,9.0,5,0,2,146,20.9,45.6,71.4
Ischemic Stroke,Clopidogrel,7,7.0,9.0,5,0,2,384,54.9,19.4,71.4
Plaque Psoriasis,Etanercept,7,8.43,10.0,6,0,1,181,25.9,100.1,85.7
Plaque Psoriasis,Enbrel,7,8.43,10.0,6,0,1,145,20.7,87.3,85.7
ibromyalgia,Armodafinil,7,8.14,10.0,5,1,1,346,49.4,91.3,71.4
ibromyalgia,Sodium Oxybate,7,7.71,9.0,6,0,1,320,45.7,69.7,85.7
ibromyalgia,Lexapro,7,8.43,9.0,5,2,0,334,47.7,32.1,71.4
ibromyalgia,Fluoxetine,6,6.5,8.0,4,0,2,281,46.8,52.0,66.7
ibromyalgia,Xyrem,6,7.17,7.5,5,0,1,309,51.5,59.5,83.3
ibromyalgia,Amrix,6,7.5,8.5,5,0,1,213,35.5,65.5,83.3
ibromyalgia,Desyrel,6,7.17,7.5,4,2,0,245,40.8,50.5,66.7
Lactose Intolerance,Lactaid,6,5.17,4.5,3,0,3,99,16.5,67.5,50.0
Autism,Ziprasidone,6,4.67,4.0,3,0,3,68,11.3,45.0,50.0
Erosive Esophagitis,Omeprazole,6,9.33,10.0,6,0,0,152,25.3,67.0,100.0
Muscle Pain,Nabumetone,6,6.83,9.5,4,0,2,193,32.2,51.3,66.7
ADHD,Nuvigil,6,8.33,9.5,5,0,1,266,44.3,92.7,83.3
ibromyalgia,Mobic,6,7.5,7.5,5,0,1,472,78.7,62.2,83.3
ibromyalgia,Nuvigil,6,8.33,9.5,5,0,1,435,72.5,94.2,83.3
Epilepsy,Tegretol Xr,6,6.33,8.0,4,0,2,80,13.3,54.3,66.7
Erectile Dysfunction,Caverject Impulse,6,9.33,9.0,6,0,0,300,50.0,70.5,100.0
Erosive Esophagitis,Dexilant,6,9.33,10.0,6,0,0,236,39.3,69.8,100.0
Neuralgia,Baclofen,6,5.17,5.5,2,2,2,83,13.8,93.5,33.3
